YouTuber,channel_link,channel_username,,,,,,,,,,,,,
葉式特工 Yes Ranger,https://www.youtube.com/channel/UCXpxKdZAiyUEaTkoCPpEZzg,YEKON1,葉式特工,Yes Ranger,,,,,,,,,,,
這群人TGOP,https://www.youtube.com/channel/UC6FcYHEm7SO1jpu5TKjNXEA,thisgroupofpeople,這群人,TGOP,展榮,展瑞,茵聲,尼克,石頭,董仔,木星,,,,
Pan Piano,https://www.youtube.com/channel/UCI7ktPB6toqucpkkCiolwLg,panpianoatelier,パンピアノ,pan piano,,,,,,,,,,,
阿神,https://www.youtube.com/channel/UCnJEWsS5agXCkqIpyHC9Grg,AshanKouki,,,,,,,,,,,,,
阿滴英文,https://www.youtube.com/channel/UCeo3JwE3HezUWFdVcehQk9Q,rayduenglish,阿滴,Ray Du,Ray Du English,,,,,,,,,,
蔡阿嘎,https://www.youtube.com/channel/UCPwxSX0DYDMQxCvgfeVDv_g,TsaiAGa,藏鏡人,歐屁,阿格列博士,大頭佛,,,,,,,,,
Joeman,https://www.youtube.com/channel/UCPRWWKG0VkBA0Pqa4Jr5j0Q,joeman,九妹,,,,,,,,,,,,
Ru's Piano Ru味春捲,https://www.youtube.com/channel/UCAYrMNl92jw6cpjdpBP8JyA,RusPiano,Ru味春捲,Ru's Piano,Ru Piano,RUsPiano,,,,,,,,,
木曜4超玩,https://www.youtube.com/channel/UCLW_SzI9txZvtOFTPDswxqg,Muyao4,木曜四超玩,邰智源,KID林柏昇,坤達,溫妮,泱泱,邰哥,林柏昇,KID,阿部瑪利亞,,,
黃氏兄弟,https://www.youtube.com/channel/UCV_S2S-Zs8LeuJxK-T3RQQg,user-huangbrothers,huangbrothers,,,,,,,,,,,,
眾量級CROWD,https://www.youtube.com/channel/UC3LBFXbWtEBdOOUb8-qJm9Q,crowd1111,家寧+0,Andy老師,家寧,,,,,,,,,,
主頻道【谷阿莫】,https://www.youtube.com/channel/UC6IMF6xi_MZ3jA1wRlPQDLA,amogood,谷阿莫,,,,,,,,,,,,
DE JuN,https://www.youtube.com/channel/UC4Aclpo5YyXbKPeiZNO_uiw,DEJunMix,DEJuN,,,,,,,,,,,,
千千進食中,https://www.youtube.com/channel/UC9i2Qgd5lizhVgJrdnxunKw,Chienseating,千千,Chien-Chien,Chien Chien,chienseating,,,,,,,,,
MASAの料理ABC,https://www.youtube.com/channel/UCr90FXGOO8nAE9B6FAUeTNA,masacooking,MASA,,,,,,,,,,,,
WACKYBOYS 反骨男孩,https://www.youtube.com/channel/UCEfetJrzg6OcXWWuX8uhdhw,WACKYBOYS520,WACKYBOYS,反骨男孩,WACKYGIRLS,反骨女孩,反骨,莊酷炫,酷炫,,,,,,
蔡阿嘎Life,https://www.youtube.com/channel/UCtcaZ5FUqaNXGX6xhpiGPQA,TsaiAGaLife,蔡阿嘎,,,,,,,,,,,,
黃阿瑪的後宮生活,https://www.youtube.com/channel/UCw2W7GIqJNB-UMUxncnMuiw,fumeancats,黃阿瑪,阿瑪,,,,,,,,,,,
啾啾鞋,https://www.youtube.com/channel/UCIF_gt4BfsWyM_2GOcKXyEQ,chuchushoeTW,,,,,,,,,,,,,
白癡公主,https://www.youtube.com/channel/UCJWXJTaLqI5KBnJuaXbCaTg,ATienDai,白痴公主,痴痴,,,,,,,,,,,
STR Network,https://www.youtube.com/channel/UCDrswN-SqWh7Kii62h9aXGA,STRNetworkasia,薩泰爾娛樂,late night,博恩,賀龍,賀瓏,伯恩,喬瑟夫,chillseph,博恩夜夜秀,,,,
人生肥宅x尊,https://www.youtube.com/channel/UC6VKHP606ee6ffKwKmBHSig,loserzun,尊,朱玉恩,朱毛毛,黃毛豬,,,,,,,,,
三原JAPAN Sanyuan_JAPAN,https://www.youtube.com/channel/UCCBq7s8VOCyek275uvq5lYQ,SanyuanJAPAN2015,三原,3yuan,三原慧悟,Keigo,Mihara,SANYUAN,變態先生,ZUZU,MANA,linlin,Yu君,sato,
